Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Худобʼяк,Макар,,Чоловік,1952-05-23,Складальник,село Конотоп,"провулок Героїв Небесної Сотні, буд. 72, Шаргород, 10556",857-18-63,dziubapanteleimon@example.net
Бебешко,Вадим,,Чоловік,1966-07-14,Астронавт,село Боково-Хрустальне,"шосе Нечипуренка, буд. 84 кв. 2, Берегове, 36347",027 025-67-90,zteslenko@example.com
Ґереґа,Едуард,,Чоловік,1981-04-18,Сценарист,селище Дергачі,"вулиця Чорноморський 4-й, буд. 31, Амвросіївка, 66571",+380 63 981-48-36,mykhailoverkhovynets@example.com
Заїка,Данило,,Чоловік,1991-12-14,Мікробіолог,місто Яремче,"набережна Маршала Бабаджаняна, буд. 45, Нововолинськ, 61898",006 201 21 60,snizhana12@example.com
Кальченко,Мирослав,,Чоловік,1952-04-24,Ґрунтознавець,місто Прилуки,"сквер Агрономічна, буд. 36, Олександрія, 47491",084 517-07-29,skarpa@example.net
Єресько,Адам,,Чоловік,1948-12-26,Географ,хутір Монастириська,"узвіз Соціальна, буд. 04, Южноукраїнськ, 73201",+380 72 533-26-12,petro88@example.org
Яковенко,Максим,,Чоловік,2000-09-20,Гінеколог,хутір Алупка,"сквер Скидановський узвіз, буд. 583, Добропілля, 97394",017 014 65 58,levchenkoeduard@example.net
Фастенко,Олесь,,Чоловік,1983-02-28,Співак,хутір Тячів,"парк Латвійський узвіз, буд. 95 кв. 55, Сіверськ, 69460",308 79 61,varvarasomko@example.com
Щириця,Володимир,,Чоловік,1983-08-13,Ґрунтознавець,хутір Торецьк,"набережна Горбатий міст, буд. 363 кв. 39, Хрестівка, 25443",094 509 81 45,qiakovenko@example.net
Царенко,Михайло,,Чоловік,1949-04-30,Соціолог,місто Зоринськ,"провулок Водний, буд. 781 кв. 98, Хоростків, 07502",248 05 45,albina07@example.org
Кибкало,Віталій,,Чоловік,1953-10-02,Стиліст,місто Почаїв,"узвіз Дубовий гай, буд. 36 кв. 09, Рудки, 88542",+380 (17) 387-47-69,zatulatereza@example.net
Ярема,Спас,,Чоловік,1967-03-02,Гінеколог,село Решетилівка,"вулиця Олександра Невського 4-й, буд. 2, Знам'янка, 77804",101 79 62,ghaidenko@example.org
Яценюк,Олекса,,Чоловік,1962-03-12,Перекладач,хутір Ялта,"проспект Василя Кандинського, буд. 86, Гайсин, 88935",083 66 09,iaremenkoiarema@example.net
Шаповал,Михайло,,Чоловік,1991-07-03,Архітектор,місто Лохвиця,"площа Чернишевського, буд. 5, Городенка, 46868",+380 89 016 95 12,vira12@example.com
Колесниченко,Болеслав,,Чоловік,1957-07-15,Економіст,село Сквира,"парк Капітана Гаврікова, буд. 7, Суми, 18425",675 31 15,demyd71@example.net
Яценко,Богуслав,,Чоловік,2003-09-24,Складальник,селище Зіньків,"шосе 12-та Суворовська, буд. 14 кв. 4, Дергачі, 04792",841 30 97,lutsenkoomelian@example.net
Дубас,Вʼячеслав,,Чоловік,2001-07-08,Електромонтажник,хутір Черкаси,"шосе Аеродромний 1-й, буд. 50 кв. 2, Березне, 12767",+380 88 150-29-51,adam61@example.org
Вернигора,Руслан,,Чоловік,2006-04-12,Письменник,село Вашківці,"вулиця Єврейська, буд. 05, Білогірськ, 57909",+380 05 629-22-08,cdakhno@example.com
Рубець,Ярема,,Чоловік,1969-09-24,Кушнір,місто Світлодарськ,"проспект Лиманчик 2-й Лінія 2-га, буд. 78 кв. 897, Городенка, 72973",+380 20 457-04-43,chalenkoarsen@example.com
Євтушок,Богуслав,,Чоловік,1985-04-19,Круп'є,селище Гірник ,"набережна Деревообробна, буд. 46, Тисмениця, 52937",+380 67 038 84 19,khrystynakhorishko@example.com
Романчук,Михайло,,Чоловік,1986-07-15,Мовознавець,село Тиврів,"сквер Висока, буд. 4 кв. 77, Татарбунари, 54140",+380 13 051 35 42,irena92@example.com
Павлик,Борислав,,Чоловік,1993-10-01,Громадський діяч,місто Червоноград,"проспект Лузанівська, буд. 4 кв. 706, Суми, 49269",077 425 30 30,symonskopenko@example.org
Корбут,Августин,,Чоловік,1960-06-21,Парфюмер,село Апостолове,"шосе Пересипська 10-та, буд. 753, Хрустальний, 62534",044 901-13-29,rozaliiastets@example.org
Бгиденко,Алевтин,,Чоловік,1963-12-30,Кінолог,селище Звенигородка,"сквер Іцхака Рабіна, буд. 6, Мала Виска, 94137",+380 97 982 93 87,iaroslavamatiash@example.org
Баранець,Андрій,,Чоловік,1996-09-13,Бізнесмен,хутір Сквира,"узвіз Патріотична, буд. 7, Боково-Хрустальне, 47080",060 316 48 10,piddubnyianzhela@example.org
Мазур,Назар,,Чоловік,1977-06-13,Хімік,село Міусинськ,"площа Деволанівська, буд. 05 кв. 01, Черкаси, 52341",+380 27 030-42-65,kgereta@example.com
Вдовиченко,Данило,,Чоловік,1958-06-09,Науковець,село Ічня,"вулиця Стєклова, буд. 91 кв. 36, Тульчин, 03487",035 011-55-56,zorian60@example.net
Непорожній,Варфоломій,,Чоловік,1958-09-07,Кухар,селище Стебник,"проспект Чехова, буд. 197 кв. 3, Ржищів, 77700",+380 46 775-69-06,chekaliukbohuslav@example.org
Євтушенко,Валентин,,Чоловік,1988-09-11,Стропальник,село Святогірськ,"вулиця Заводська 3-тя, буд. 8, Павлоград, 71317",+380 47 367 70 92,zakharenkoemiliia@example.net
Міщенко,Юхим,,Чоловік,1999-01-08,Журналіст,хутір Мелітополь,"шосе Сєченова, буд. 247, Горлівка, 76717",002 823-63-46,bakumenkoolha@example.org
Михайлюк,Яків,,Чоловік,1990-02-14,Провізор,хутір Деражня,"шосе 13-та Лінія 6-й ст. Люстдорфської дороги, буд. 4, Вознесенськ, 77324",+380 78 580-40-63,ielysei69@example.net
Чміль,Адам,,Чоловік,1994-06-03,Геофізик,місто Радомишль,"парк Яші Гордієнка, буд. 364, Заліщики, 32799",045 106 51 61,marusia62@example.com
Хмара,Аарон,,Чоловік,1962-08-26,Бібліограф,хутір Ічня,"вулиця 40-річчя оборони Одеси, буд. 07 кв. 8, Івано-Франківськ, 25663",213 78 11,iaroshalina@example.com
Тарасенко,Йосип,,Чоловік,1982-11-11,Літературознавець,селище Севастополь,"провулок Леваневського тупик, буд. 8, Енергодар, 69897",+380 (00) 378-84-86,artemchalenko@example.com
Фаренюк,Андрій,,Чоловік,1956-04-03,Каскадер,село Шумськ,"площа Маринеско узвіз, буд. 443, Устилуг, 02162",082 378 00 44,nataliiaadamenko@example.org
Макогон,Валерій,,Чоловік,1987-03-13,Складальник,місто Сватове,"шосе Іспанський, буд. 955 кв. 137, Суходільськ, 65687",047 073-50-17,panasisaienko@example.org
Вернигора,Леон,,Чоловік,1948-08-02,Антрополог,місто Рожище,"вулиця 10-та Лінія 6-й ст. Люстдорфської дороги, буд. 570, Роздільна, 20699",013 414 88 55,opanashuk@example.org
Гайдабура,Стефан,,Чоловік,1989-02-20,Ріелтор,село Червоноград,"узвіз Раїси Сергієнко, буд. 5 кв. 939, Вільнянськ, 27024",235 27 67,mykhailozaruba@example.com
Шморгун,Арсен,,Чоловік,1969-05-09,Журналіст,хутір Перевальськ,"шосе Соляний 3-й, буд. 9, Южне, 70516",+380 58 757 66 06,fchervonenko@example.net
Демʼянюк,Варфоломій,,Чоловік,1949-10-15,Електрик,село Городок,"узвіз Вапняна, буд. 9 кв. 078, Сторожинець, 47844",085 636-68-82,tarashavriushenko@example.org
Теличенко,Валерій,,Чоловік,2001-11-18,Піаніст,хутір Інкерман,"вулиця Льва Симиренка, буд. 414 кв. 90, Брянка, 45562",+380 59 088 49 49,hennadiivoblyi@example.com
Влох,Олег,,Чоловік,1995-04-14,Геолог,село Святогірськ,"набережна Деревообробний 5-й, буд. 88, Довжанськ, 40457",851 29 25,ievaiurchyshyn@example.com
Колесниченко,Артем,,Чоловік,1983-01-24,Палеонтолог,село Житомир,"узвіз Могилівська, буд. 566, Боково-Хрустальне, 82893",+380 03 592 88 41,ievaiushchenko@example.net
Батіг,Омелян,,Чоловік,1970-03-30,Літературознавець,місто Копичинці,"вулиця Дунаєва, буд. 91, Хотин, 84192",085 754 74 45,dandakhno@example.net
Їжакевич,Пантелеймон,,Чоловік,1959-06-26,Ґрунтознавець,селище Шахтарськ,"шосе Рішельєвська, буд. 751 кв. 85, Мукачево, 34750",029 569-99-80,xchaika@example.net
Назаренко,Олександр,,Чоловік,1989-01-29,Палеонтолог,місто Ланівці,"проспект Крилова, буд. 23 кв. 08, Синельникове, 04761",143-35-67,valentynteslia@example.com
Черінько,Єлисей,,Чоловік,1977-10-26,Історик,село Вовчанськ,"шосе Щукіна, буд. 2, Дубляни, 83641",081-52-21,iiefymenko@example.com
Цюцюра,Артем,,Чоловік,1970-12-15,Актор,селище Тальне,"вулиця Посмітного, буд. 12, Тиврів, 70003",+380 59 595-65-69,jgerega@example.org
Верменич,Аркадій,,Чоловік,1978-05-29,Круп'є,село Херсон,"набережна Василя Симоненка, буд. 4, Хмельницький, 97168",+380 77 258-20-51,ostapchukarsen@example.net
Пушкар,Трохим,,Чоловік,1986-12-01,Письменник,селище Шпола,"узвіз Тупиковий, буд. 18, Кобеляки, 11183",290 62 56,ievhen61@example.net
Гречко,Пантелеймон,,Чоловік,2006-08-10,Електротехнік,село Івано-Франківськ,"сквер Гранатна, буд. 739, Рівне, 74553",+380 11 329-20-84,gchalyi@example.net
Цимбал,Яків,,Чоловік,1991-04-18,Кухар,село Вінниця,"шосе Гагаріна, буд. 76 кв. 341, Чоп, 29303",+380 (77) 356-10-23,iosyp24@example.com
Павлик,Феофан,,Чоловік,2005-09-29,Архітектор,село Мар'їнка,"набережна Онезька, буд. 4, Біляївка, 14823",699 93 36,durdynetskyrylo@example.org
Опанасенко,Валерій,,Чоловік,1995-04-02,Мірошник,селище Ківерці,"узвіз Студена, буд. 2 кв. 126, Тисмениця, 07557",+380 77 182-33-55,nazarazhazha@example.com
Усик,Тимофій,,Чоловік,1977-04-05,Різноробочий,хутір Зимогір'я,"площа Полуничний, буд. 082, Харцизьк, 46714",084 832 78 82,zhaivoronieva@example.com
Аронець,Ярослав,,Чоловік,1977-06-27,Музикознавець,хутір Брянка,"парк Мусіна, буд. 466, Малин, 46894",078-40-13,iefremivanchenko@example.org
Девдюк,Гаврило,,Чоловік,1997-06-01,Сценарист,хутір Гуляйполе,"вулиця Грецький, буд. 4, Яремче, 74034",830 62 25,arsentalan@example.com
Савенко,Арсен,,Чоловік,1954-04-16,Нотаріус,хутір Рудки,"парк Станційна 2-га, буд. 8, Христинівка, 12344",067 114-24-37,bnosenko@example.org
Дурдинець,Аркадій,,Чоловік,1993-07-21,Музикант,селище Кадіївка,"шосе Ланжеронівський узвіз, буд. 9 кв. 558, Зіньків, 88366",+380 68 783 31 41,charnyshvira@example.com
Овчаренко,Єлисей,,Чоловік,1974-10-23,Композитор,село Вільногірськ,"сквер Васнецова, буд. 25, Чигирин, 10554",034 552-25-12,zabashtavalerii@example.com
Токар,Іван,,Чоловік,2004-04-17,М'ясник,селище Хмельницький,"узвіз Паркова, буд. 095 кв. 3, Світловодськ, 07655",+380 (60) 814-50-50,aaronbabak@example.net
Дашкевич,Дмитро,,Чоловік,1981-10-01,Фізик,село Коломия,"узвіз Китобійний 1-й, буд. 79 кв. 85, Ворожба, 84816",+380 76 595-17-14,irena77@example.com
Деревʼянко,Левко,,Чоловік,1953-03-07,Скульптор,місто Рівне,"вулиця Глиняна, буд. 554 кв. 460, Мостиська, 65178",+380 44 351-97-75,ineporozhnii@example.org
Гайворонський,Леопольд,,Чоловік,1951-05-26,Мірошник,місто Кривий Ріг,"площа Академіка Сахарова, буд. 309, Стебник, 19312",+380 94 208-94-01,jriabovil@example.org
Баранець,Веніямин,,Чоловік,1980-10-04,Бізнесмен,місто Костянтинівка,"набережна Короткий, буд. 51, Барвінкове, 04429",713-10-30,frants74@example.net
Їжакевич,Олександр,,Чоловік,1948-08-14,Нотаріус,місто Судова Вишня,"площа Олександра Стурдзи, буд. 81 кв. 15, Феодосія, 77031",+380 50 582 31 59,hlibveres@example.org
Адамчук,Азар,,Чоловік,1988-12-10,Інженер,місто Черкаси,"шосе Удільний, буд. 6 кв. 348, Вилкове, 95554",+380 15 173-07-48,opanashavryshkevych@example.org
Якимчук,Альберт,,Чоловік,2001-08-20,Дантист,селище Богодухів,"провулок Чорноморський 8-й, буд. 786 кв. 157, Білогірськ, 06907",016 31 73,mykhailoilienko@example.net
Бабʼяк,Феофан,,Чоловік,1994-01-02,М'ясник,місто Кропивницький,"провулок Компасний, буд. 743 кв. 325, Біла Церква, 19930",+380 10 701-49-74,akymenkohryhorii@example.org
Карпенко,Іван,,Чоловік,1988-05-03,Архітектор,місто Христинівка,"проспект Гімназична, буд. 056, Немирів, 91948",734 43 28,okseniiamishchenko@example.org
Єрошенко,Гліб,,Чоловік,1963-10-22,Драматург,селище Обухів,"парк Олександра Стурдзи, буд. 41, Біляївка, 31770",540-99-39,ipetryk@example.net
Тимченко,Орхип,,Чоловік,1964-09-22,Громадський діяч,село Сіверськ,"шосе Олександра Невського 5-й, буд. 832 кв. 7, Ровеньки, 13618",036 635 99 66,ostapchukmakar@example.com
Дейсун,Опанас,,Чоловік,1978-05-30,Бібліограф,село Обухів,"парк Амурський 1-й, буд. 054 кв. 73, Харків, 89624",157 29 41,hsliusar@example.net
Тичина,Давид,,Чоловік,1992-02-09,Краєзнавець,селище Перемишляни,"парк Першотравневий 3-й, буд. 79 кв. 4, Кролевець, 62402",008-16-98,danylobandurka@example.org
Яремчук,Остап,,Чоловік,2002-09-25,Шериф,хутір Роздільна,"парк Офіцерський 1-й, буд. 2 кв. 047, Городня, 63007",155 97 47,oliinykiarema@example.com
Нестайко,Богуслав,,Чоловік,1972-08-27,Астронавт,хутір Ананьїв,"вулиця Морехідний, буд. 6, Новгород-Сіверський, 18752",+380 03 634-15-63,csomko@example.org
Копитко,Онисим,,Чоловік,1981-11-26,Стоматолог,місто Чугуїв,"сквер Джутовий, буд. 65, Сєвєродонецьк, 43127",+380 81 667-74-13,danzatula@example.net
Жадан,Артем,,Чоловік,1975-12-25,Кінолог,хутір Вовчанськ,"узвіз 4-та Лінія 6-й ст. Люстдорфської дороги, буд. 4, Люботин, 42499",846-14-07,dvlasiuk@example.com
Єрмоленко,Павло,,Чоловік,1982-07-14,Антрополог,селище Березівка,"узвіз Градоначальницька, буд. 761, Дубляни, 81173",+380 (95) 553-88-77,zromanchuk@example.org
Цимбал,Феофан,,Чоловік,1980-07-21,Перекладач,селище Підгородне,"шосе Компасний, буд. 0, Яремче, 33631",465 40 57,zorianlupii@example.com
Вернидуб,Мартин,,Чоловік,1976-10-13,Кушнір,селище Яворів,"площа Педагогічна, буд. 4 кв. 68, Жидачів, 02617",+380 16 698 47 37,babychiaroslava@example.com
Дубина,Орест,,Чоловік,1995-11-23,Петрограф,селище Марганець ,"проспект Віцеадмірала Жукова, буд. 44 кв. 9, Новоград-Волинський, 67719",764 68 62,xgoliash@example.net
Удовиченко,Олександр,,Чоловік,2008-07-08,Програміст,село Горлівка,"провулок Естафетна, буд. 150 кв. 9, Кіцмань, 33020",+380 84 201-88-62,uchubai@example.net
Ткаченко,Олесь,,Чоловік,1994-05-28,Бібліотекар,хутір Кобеляки,"сквер Шампанський, буд. 3, Бобринець, 24383",+380 60 494-27-40,gsirobaba@example.com
Дахно,Аврелій,,Чоловік,1955-01-22,Прокурор,місто Чорнобиль,"парк Дунаєвського 2-й, буд. 075, Переяслав, 71631",029 587-18-62,shyloillia@example.net
Чубай,Владислав,,Чоловік,2003-01-18,Модель,село Красноперекопськ,"набережна Італійський, буд. 1, Маріуполь, 83294",+380 65 304 50 39,leonzaichenko@example.com
Захаренко,Аарон,,Чоловік,2004-10-27,Палеонтолог,селище Теплодар,"шосе Костанді 2-й, буд. 4, Балаклія, 47812",+380 93 971-59-25,ztryhub@example.net
Алексюк,Святослав,,Чоловік,1961-06-12,Філолог,місто Свалява,"проспект Городня, буд. 034, Новий Буг, 16956",048 272-80-12,violetta16@example.org
Ковалюк,Антон,,Чоловік,1970-05-15,Стоматолог,хутір Щолкіне,"набережна Відважних, буд. 6, Жовква, 08868",+380 37 591 76 05,nosenkovadym@example.net
Дрозденко,Леонтій,,Чоловік,2000-04-24,Флорист,хутір Новоукраїнка,"вулиця Польовий 1-й, буд. 163 кв. 19, Миргород, 84033",+380 49 724-02-16,ptsiupa@example.org
Рева,Ярема,,Чоловік,1957-12-01,Лікар,село Радомишль,"вулиця Академіка Богатського, буд. 90 кв. 71, Мала Виска, 84200",719-58-70,venedyktrubets@example.net
Романець,Давид,,Чоловік,1964-09-02,Льотчик,хутір Марганець ,"узвіз Ільфа і Петрова, буд. 16, Чернігів, 21977",+380 (66) 208-21-41,mykolai53@example.com
Щириця,Мартин,,Чоловік,1960-01-12,Модельєр,місто Глобине,"провулок Басейний 2-й, буд. 72 кв. 6, Дніпро , 17750",094 098 43 43,chuikobohuslav@example.org
Масляк,Петро,,Чоловік,1966-03-15,Журналіст,село Горохів,"проспект Кипарисний 2-й, буд. 0 кв. 658, Сімферополь, 16653",701-95-45,andriishynieva@example.net
Алексійчук,Гордій,,Чоловік,1992-09-02,Диригент,село Українка ,"проспект Розкидайлівська, буд. 15 кв. 00, Кам'янське, 51427",021 047 23 56,vadymholoborodko@example.net
Лазаренко,Гордій,,Чоловік,1949-09-15,Дипломат,село Щолкіне,"площа Крутоярська, буд. 477, Харцизьк, 70539",+380 16 299 84 76,iaroslavaazhazha@example.com
Сацюк,Пилип,,Чоловік,1996-02-05,Кухар,місто Шумськ,"сквер Республіканська, буд. 587 кв. 55, Липовець, 79495",+380 70 349 04 42,somkovira@example.com
Вишняк,Зиновій,,Чоловік,1948-04-04,Архітектор,місто Самбір,"парк Одеса-Головна, буд. 9, Рахів, 30570",+380 26 414-99-31,dmytro14@example.com
Яценко,Святослав,,Чоловік,1956-09-16,Редактор,місто Кобеляки,"парк Морський 2-й, буд. 77, Ватутіне, 51872",+380 83 395 78 92,echornovil@example.net
Терещенко,Стефан,,Чоловік,1965-06-12,Круп'є,місто Почаїв,"проспект Деревообробний 5-й, буд. 14, Соснівка , 80604",037 940 63 73,petrenkoandrii@example.com
Шило,Пармен,,Чоловік,1953-10-26,Локсмайстер,селище Камінь-Каширський,"парк Десята, буд. 41 кв. 3, Ніжин, 14798",035 093 67 91,sviatoslav21@example.net
Андрійович,Пантелеймон,,Чоловік,1959-12-02,Перекладач,селище Ковель,"проспект Софії Перовської, буд. 6 кв. 5, Бахмач, 52955",508 93 49,gsimashkevych@example.org
Царенко,Симон,,Чоловік,1988-12-24,Конструктор,село Бориспіль,"провулок Андреєвського, буд. 760 кв. 951, Козятин, 45418",+380 (39) 246-48-35,wbandera@example.com
Аронець,Феофан,,Чоловік,1952-01-09,Модель,хутір Ірміно,"узвіз Книжковий, буд. 2, Трускавець, 51610",+380 99 583-69-93,priska60@example.org
Дацюк,Теодор,,Чоловік,1952-05-19,Дизайнер,хутір Луганськ,"площа Бабеля, буд. 048, Вовчанськ, 11270",012 656 29 48,danna27@example.org
Малишко,Йосип,,Чоловік,1958-07-25,Водій,селище Жовті Води,"набережна Новомосковська дорога, буд. 76, Залізне, 17199",074 338 98 24,amaliiaiakovenko@example.com
Рубець,Георгій,,Чоловік,2000-07-24,Єгер,селище Новояворівськ,"шосе Миколи Бажана, буд. 437, Роздільна, 18916",+380 61 788-73-22,vashchukalevtyn@example.org
Ісаєвич,Гаврило,,Чоловік,1983-11-29,Геолог,село Красноперекопськ,"узвіз Хлібна гавань, буд. 718 кв. 016, Волноваха, 06961",054 878 03 51,klymentdarahan@example.net
Даниленко,Орест,,Чоловік,1958-11-14,Фізик,місто Сторожинець,"проспект Марата 1-й, буд. 5, Українка , 35434",+380 90 051 60 82,pylypenkolarysa@example.net
Їжакевич,Гордій,,Чоловік,1965-10-19,Кінолог,місто Копичинці,"площа Міцкевича, буд. 65, Українка , 96089",003 838-05-96,hlibpavlyk@example.net
Артимович,Демид,,Чоловік,2008-02-16,Маркетолог,хутір Дубно,"провулок 9-та Лінія Дачі Ковалевського, буд. 67, Чорноморськ, 44089",265-84-16,volodymyra62@example.com
Козак,Олесь,,Чоловік,1988-06-15,Історик,місто Перечин,"шосе Софії Перовської, буд. 26 кв. 954, Кам'янка (Черкаська область), 78259",+380 85 018 04 95,artemkashchenko@example.com
Худяк,Віталій,,Чоловік,1964-11-20,Композитор,місто Сквира,"сквер Матроський узвіз, буд. 43 кв. 495, Хуст, 28097",+380 (33) 671-07-52,davydchubai@example.org
Гаврилець,Давид,,Чоловік,1980-01-23,Бібліограф,селище Біла Церква,"шосе Дачна, буд. 998 кв. 12, Броди, 44137",+380 (73) 281-65-38,roman31@example.org
Демʼянчук,Демид,,Чоловік,1996-01-16,Електрик,місто Здолбунів,"вулиця Ювілейний 1-й, буд. 8, Прип'ять , 68872",060 854-25-77,ochernenko@example.net
Устенко,Мирон,,Чоловік,1975-04-24,Складальник,хутір Шахтарськ,"сквер Вапняне селище, буд. 482 кв. 520, Яворів, 09840",+380 99 777 88 49,kyrylo48@example.com
Гуцуляк,Арсен,,Чоловік,1969-07-02,Продюсер,місто Старокостянтинів,"проспект Полтавська, буд. 0, Золотоноша, 47745",096 102 93 88,asaulafeofan@example.com
Опанасенко,Миколай,,Чоловік,1976-06-24,Єгер,хутір Гірське,"проспект Академіка Заболотного, буд. 413, Косів, 17267",+380 (68) 048-02-89,lukiandemianchuk@example.net
Фесенко,Віктор,,Чоловік,2005-07-19,Гінеколог,село Керч,"узвіз Старорізнична, буд. 3 кв. 634, Бунге , 25308",858 10 29,avhustyn83@example.com
Верхола,Ярема,,Чоловік,1985-03-01,Мовознавець,хутір Ужгород,"проспект Прохоровська, буд. 0, Суми, 29202",+380 05 199-51-37,erikafesenko@example.org
Олійник,Геннадій,,Чоловік,1974-05-20,Хореограф,село Миколаїв,"проспект Леваневського, буд. 417 кв. 490, Вугледар, 04757",+380 (94) 784-65-55,mazeparoksolana@example.com
Деревʼянко,Михайло,,Чоловік,1962-04-07,Математик,селище Тисмениця,"вулиця Студентський 1-й, буд. 095 кв. 7, Підгородне, 88919",+380 86 118-05-59,kbarabash@example.com
Гунько,Пармен,,Чоловік,1989-06-20,Диригент,хутір Вуглегірськ,"вулиця Олександра Невського 4-й, буд. 2, Балта, 28014",+380 (24) 110-97-94,pavlo30@example.net
Масляк,Максим,,Чоловік,1958-06-15,Астроном,село Новодністровськ,"узвіз Травневий 5-й, буд. 446 кв. 84, Жидачів, 48427",046 830-99-72,matiashokhrim@example.net
Сомко,Борис,,Чоловік,2000-04-14,Модель,селище Березівка,"парк Новоселів, буд. 44, Ватутіне, 77695",+380 03 807 11 77,mykhailokarpenko@example.com
Корпанюк,Яків,,Чоловік,2005-12-22,Літературознавець,село Барвінкове,"набережна Черняховського, буд. 4 кв. 9, Марганець , 27862",+380 26 162-07-59,parmenkorbut@example.org
Рудик,Леопольд,,Чоловік,2000-11-28,М'ясник,місто Герца,"сквер Серединський, буд. 2, Славутич, 26845",+380 (25) 247-55-63,bkovaliuk@example.com
Павличенко,Алевтин,,Чоловік,1968-10-19,Архітектор,хутір Городок,"провулок Тінистий, буд. 50, Ізяслав, 74219",031 810-99-87,danylomykhailychenko@example.org
Корж,Кирило,,Чоловік,1976-09-04,Будник,місто Дебальцеве,"парк 10-та Суворовська, буд. 7, Мерефа, 28126",+380 96 407-44-81,stefan64@example.net
Іванченко,Аврелій,,Чоловік,1980-06-30,Прокурор,хутір Буча,"шосе Гранатна, буд. 70 кв. 41, Первомайський , 75186",+380 96 957-46-12,ielysavetakovalenko@example.net
Слюсар,Валерій,,Чоловік,1985-08-22,Музикант,місто Лохвиця,"провулок Яружний, буд. 7, Остер , 97207",+380 (13) 166-73-03,zasiadkohanna@example.org
Уманець,Пармен,,Чоловік,1991-05-21,Музикант,хутір Судова Вишня,"шосе Харківська, буд. 573 кв. 38, Попасна, 73722",788-97-78,petrykleontii@example.org
Джунь,Герман,,Чоловік,1981-08-10,Історик,хутір Коростишів,"набережна Олександра Матросова, буд. 0 кв. 631, Миколаївка , 17101",+380 30 790-82-64,gvenhrynovych@example.net
Ґереґа,Вадим,,Чоловік,1948-03-07,Громадський діяч,хутір Харцизьк,"проспект Володимира Вінниченка, буд. 29 кв. 2, Здолбунів, 38813",153 89 37,ihnat58@example.org
Бандура,Ростислав,,Чоловік,1997-12-02,Фрілансер,село Гнівань,"вулиця Луганська, буд. 624, Нікополь, 24933",047 652 01 97,atroshchenkoazar@example.org
Даньків,Вʼячеслав,,Чоловік,1949-07-29,Дерун,селище Винники,"набережна Прокатна, буд. 08, Баранівка, 68894",+380 76 240-29-34,tnosenko@example.com
Наливайко,Теодор,,Чоловік,1997-08-11,Гірник,селище Решетилівка,"узвіз Локомотивна, буд. 011, Хрестівка, 23099",375-01-42,symon65@example.com
Заїка,Лесь,,Чоловік,1994-11-13,Педагог,місто Сколе,"площа Рощева, буд. 575, Борзна, 40959",+380 46 798-21-94,tfranko@example.org
Конопля,Михайло,,Чоловік,1972-10-11,Кіноактор,село Жданівка,"набережна Новгородський 2-й, буд. 6 кв. 30, Турка, 43527",064 675-83-64,oleksa16@example.com
Конопля,Роман,,Чоловік,2008-08-24,Ді-джей,селище Свалява,"узвіз Сінна, буд. 60, Світловодськ, 60893",+380 08 577-11-08,fedir67@example.org
Карпа,Соломон,,Чоловік,1991-12-23,Електромонтер,хутір Гірник ,"проспект Керченський 3-й, буд. 449 кв. 59, Сватове, 68608",002 909-52-08,dlemeshko@example.org
Худяк,Василь,,Чоловік,1995-05-07,Ріелтор,селище Полонне,"парк Новоукраїнський, буд. 926, Марганець , 37168",098 907-67-90,ieva39@example.org
Дзюба,Альберт,,Чоловік,1996-03-12,Сценарист,хутір Обухів,"шосе Аеропортівський 5-й, буд. 366, Долинська, 28281",+380 88 359 36 32,ieroshenkovasyl@example.com
Деркач,Пантелеймон,,Чоловік,2004-10-23,Гірник,місто Кам'янець-Подільський,"сквер Кишинівська, буд. 6, Полонне, 97437",013 856 19 93,giarosh@example.net
Гречко,Семен,,Чоловік,1984-11-28,Громадський діяч,селище Решетилівка,"вулиця Закарпатська, буд. 3, Дніпрорудне, 26923",003 95 20,fedirshylo@example.net
Ребрик,Андрій,,Чоловік,1981-09-27,Клавішник,селище Вільнянськ,"сквер Вокзальна, буд. 039 кв. 9, Ладижин, 29509",894-32-28,hlib11@example.net
Філіпенко,Онисим,,Чоловік,2002-09-04,Фольклорист,село Вараш,"набережна Матроська Слобідка, буд. 6 кв. 3, Горлівка, 70740",003 737 28 08,viktoriia24@example.org
Чміль,Гордій,,Чоловік,1997-01-22,Клоун,місто Ланівці,"площа Щоголєва, буд. 645 кв. 688, Баштанка, 22082",715-46-19,ustym94@example.org
Цимбалюк,Геннадій,,Чоловік,1970-11-27,Психолог,село Зугрес,"сквер Посівна, буд. 073 кв. 62, Тетіїв, 47008",027 764 97 94,snizhana55@example.org
Аронець,Святослав,,Чоловік,1957-01-20,Письменник,село Ясинувата,"шосе Міцкевича, буд. 26, Прилуки, 15913",520 40 42,emiliia90@example.net
Ажажа,Симон,,Чоловік,2002-09-30,Музикант,селище Герца,"узвіз Квітнева, буд. 914, Кривий Ріг, 32478",+380 31 199-42-15,borys48@example.net
Ярош,Симон,,Чоловік,1973-05-05,Журналіст,селище Бібрка,"узвіз Новоберегова, буд. 63, Олешки, 99654",+380 07 096 19 79,htovstolis@example.net
Вишиваний,Охрім,,Чоловік,1986-03-10,Фермер,хутір Борзна,"провулок Гаванна, буд. 78, Кам'янка-Бузька, 99352",395 33 07,vertyporokhvladyslav@example.net
